car_name_fixed,city,showroom_name,manufacturing_year,trim,body_type,color,product,invygo_baseprice,starter_fee,sto_contract_length,car_condition,vehicle_category
Yaris,Riyadh,Riyadh - An Nahdah (Pick - up ),"2,026",Y,Sedan,White,STO,"2,100","2,425",1,USED,Compact
Yaris,Riyadh,Riyadh - As Sulimaniyah - Pickup,"2,026",Y,Sedan,Gray,STO,"2,300","2,500",36,NEW,Compact
Yaris,Riyadh,Riyadh - As Sulimaniyah - Pickup,"2,026",Y,Sedan,Gray,STO,"2,300","2,500",36,NEW,Compact
T77,Jeddah,Jeddah - Airport - Pickup,"2,026",Deluxe,SUV,White,STO,"3,000","3,325",18,USED,Crossover
Raize,Riyadh,Riyadh - Dhahrat Laban - Pickup,"2,026",XLE,SUV,Gray,STO,"2,300","2,650",36,NEW,Crossover
Elantra,Riyadh,Riyadh - As Sulimaniyah,"2,023",STD,Sedan,Grey,STS,880,,,NEW,Sedan
5,Riyadh,Riyadh - An Nasim Al Gharbi - Pickup,"2,025",STD,Sedan,Silver,STO,"1,975","2,300",36,NEW,Compact
Yaris,Jeddah,Jeddah - Al Fayha - Pickup,"2,026",Y,Sedan,Gray,STO,"2,300","2,500",36,NEW,Compact
Accent,Riyadh,Riyadh - Dhahrat Laban - Pickup,"2,026",Fleet,Sedan,Gray,STO,"2,500","2,700",36,NEW,Compact
Dzire,Riyadh,Riyadh - Al jazirah,"2,026",GL,Sedan,White,STS,770,,,NEW,Sedan
Cityray,Jeddah,Jeddah - Ar Rabwah - Pickup,"2,026",GC,SUV,Gray,STO,"2,850","1,800",36,NEW,SUV
Sunny,Jeddah,Jeddah - Al Baghdadiyah,"2,022",Classic,Sedan,White,STS,569,,,NEW,Compact
Dzire,Riyadh,Riyadh - Al Yarmuk,"2,025",GL,Sedan,Blue,MONTHLY,"1,870",,,NEW,Sedan
Elantra,Dammam,Dammam - Al Thawn,"2,023",Fleet,Sedan,Beige,STS,830,,,NEW,Sedan
Sonet,Riyadh,Riyadh - Al Yarmuk,"2,023",LX,Crossover,Gray,MONTHLY,"2,475","2,550",,USED,Crossover
i10,Jeddah,Jeddah - Bani Malik,"2,022",MPI,Hatchback,Silver,MONTHLY,"2,319",,,NEW,Compact
Dzire,Riyadh,Riyadh - Qurtubah,"2,023",GL,Sedan,Grey,STS,639,,,NEW,Sedan
Pegas,Riyadh,Riyadh - Al Yarmuk,"2,026",STD,Sedan,Grey,STS,600,,,NEW,Compact
Pegas,Riyadh,Riyadh - Al Yarmuk,"2,026",STD,Sedan,Grey,STS,600,,,NEW,Compact
Sunny,Riyadh,Riyadh - An Nahdah,"2,024",STD,Sedan,White,STS,600,,,NEW,Compact
Corolla,Riyadh,Riyadh - Al Yarmuk,"2,024",STD,Sedan,Black,STS,750,,,NEW,Sedan
520,Riyadh,Riyadh - Rahmaniyyah,"2,026",STD,Sedan,Tiffany Blue,MONTHLY,"23,639",,,NEW,Sedan
Elantra,Dammam,Dammam - Al Itisalat,"2,022",Fleet,Sedan,White,MONTHLY,"2,449",,,NEW,Sedan
Yaris,Riyadh,Riyadh - As Sulimaniyah,"2,026",Y,Sedan,Silver,MONTHLY,"2,389",,,NEW,Compact
Pegas,Riyadh,Riyadh - Al Khaleej,"2,026",LX,Sedan,White,MONTHLY,"1,859",,,NEW,Compact
5,Riyadh,Riyadh - An Nasim Al Gharbi - Pickup,"2,025",STD,Sedan,White,STO,"1,975","2,300",36,NEW,Compact
Yaris,Riyadh,Riyadh - Ar Rimal - Pickup,"2,026",Y,Sedan,White,STO,"2,300","2,500",36,NEW,Compact
Yaris,Riyadh,Riyadh - As Sahabah,"2,026",Y,Sedan,Grey,STS,750,,,NEW,Compact
Dzire,Madinah,Madinah - Al Areed,"2,024",GL,Sedan,White,STS,600,,,NEW,Sedan
Urban Cruiser,Riyadh,Riyadh - Al Munsiyah,"2,026",STD,Crossover,White,STS,970,,,NEW,Crossover
Elantra,Riyadh,Daily Sulimaniyah Riyadh,"2,024",Fleet,Sedan,Brown,STS,970,,,NEW,Sedan
Corolla,Riyadh,Riyadh - Al Quds - Pickup,"2,023",XLI,Sedan,White,STO,"2,000","2,300",12,USED,Sedan
K3,Al Khobar,Al Khobar -  Al-Thuqbah,"2,025",STD,Sedan,Silver,MONTHLY,"3,149",,,NEW,Compact
Yaris,Riyadh,Riyadh - An Nahdah (Pick - up ),"2,026",Y,Sedan,White,STO,"2,050","2,350",30,USED,Compact
Yaris,Riyadh,Riyadh - As Sulimaniyah - Pickup,"2,026",Y,Sedan,Silver,STO,"2,300","2,500",36,NEW,Compact
Yaris,Riyadh,Riyadh - As Sulimaniyah - Pickup,"2,026",Y,Sedan,Gray,STO,"2,300","2,500",36,NEW,Compact
Emgrand,Riyadh,Riyadh - As Sulimaniyah - Pickup,"2,026",STD,Sedan,Dark Blue,STO,"2,150","2,375",36,USED,Sedan
Yaris,Riyadh,Riyadh - As Sulimaniyah - Pickup,"2,026",Y,Sedan,Silver,STO,"2,300","2,500",36,NEW,Compact
Yaris,Riyadh,Riyadh - As Sulimaniyah - Pickup,"2,026",Y,Sedan,Silver,STO,"2,300","2,500",36,NEW,Compact
S450,Riyadh,Riyadh - Rahmaniyyah,"2,026",STD,Sedan,Black,STS,"13,685",,,NEW,Luxury
Corolla,Riyadh,Riyadh - Al Yarmuk,"2,024",STD,Sedan,Black,STS,750,,,NEW,Sedan
Eado,Al Khobar,Al Khobar -  Al-Thuqbah,"2,023",Plus,Sedan,Silver,MONTHLY,"2,329",,,NEW,Sedan
Sunny,Riyadh,Riyadh - Al Khaleej,"2,023",STD,Sedan,White,STS,896,,,NEW,Compact
Yaris,Jeddah,Dammam - Al Itisalat,"2,026",Y,Sedan,Silver,MONTHLY,"2,349",,,NEW,Compact
Accent,Dammam,Dammam - Al Rawdah - Pickup,"2,026",Fleet,Sedan,White,STO,"2,350","1,400",36,NEW,Compact
Cityray,Riyadh,Riyadh - Al Quds - Pickup,"2,026",GC,SUV,White,STO,"2,850","1,800",36,NEW,SUV
Cityray,Riyadh,Riyadh - Al Quds - Pickup,"2,026",GC,SUV,Silver,STO,"2,850","1,800",36,NEW,SUV
Elantra,Dammam,Dammam - Al Rawdah - Pickup,"2,026",Smart,Sedan,Gray,STO,"2,925","3,200",36,NEW,Sedan
Territory,Riyadh,Riyadh - Sulimaniyah,"2,024",STD,CUV,Black,MONTHLY,"5,350",,,NEW,Crossover
Raize,Riyadh,Riyadh - Al Wadi,"2,023",XLE,SUV,Blue,MONTHLY,"2,140",,,USED,Crossover
Corolla,Riyadh,Riyadh - Al Quds - Pickup,"2,023",XLI,Sedan,White,STO,"2,000","2,300",12,USED,Sedan
K3,Jeddah,Jeddah - Salamah - Pickup,"2,025",STD,Sedan,White,STO,"1,950","2,250",24,USED,Compact
Elantra,Riyadh,Riyadh - Ar Rimal - Pickup,"2,026",Fleet,Sedan,Gray,STO,"2,500","2,750",24,USED,Sedan
Alsvin,Dammam,Dammam - Al Itisalat,"2,023",STD,Sedan,White,MONTHLY,"1,839",,,NEW,Sedan
Yaris,Riyadh,Riyadh - As Sulimaniyah - Pickup,"2,026",Y,Sedan,Gray,STO,"2,300","2,500",36,NEW,Compact
Yaris,Riyadh,Riyadh - As Sulimaniyah - Pickup,"2,026",Y,Sedan,Gray,STO,"2,300","2,500",36,NEW,Compact
Yaris,Riyadh,Riyadh - As Sulimaniyah - Pickup,"2,026",Y,Sedan,Silver,STO,"2,300","2,500",36,NEW,Compact
Sunny,Riyadh,Riyadh - Al Yarmuk,"2,024",STD,Sedan,Silver,STS,600,,,NEW,Compact
GT,Riyadh,Riyadh - Al Yarmuk,"2,024",STD,Sedan,Grey,STS,750,,,NEW,Sedan
GT,Riyadh,Riyadh - An Nahdah,"2,024",STD,Sedan,Grey,STS,750,,,NEW,Sedan
Corolla,Riyadh,Riyadh - An Nahdah,"2,024",STD,Sedan,Black,STS,750,,,NEW,Sedan
Corolla,Riyadh,Riyadh - An Nahdah,"2,024",STD,Sedan,Black,STS,750,,,NEW,Sedan
Yaris,Jeddah,Jeddah - Al-Baghdadiyah Al-Gharbiyah,"2,026",Y,Sedan,Silver,MONTHLY,"2,769",,,NEW,Compact
Accent,Jeddah,Jeddah - An Nuzhah - Pickup,"2,026",Fleet,Sedan,Gray,STO,"2,500","1,200",36,NEW,Compact
Accent,Riyadh,Riyadh - Dhahrat Laban - Pickup,"2,026",Fleet,Sedan,Silver,STO,"2,500","2,700",36,NEW,Compact
Accent,Jeddah,Jeddah - An Nuzhah - Pickup,"2,026",Fleet,Sedan,Gray,STO,"2,500","1,200",36,NEW,Compact
Raize,Riyadh,Riyadh - Dhahrat Laban - Pickup,"2,026",Fleet,SUV,Silver,STO,"2,300","2,600",36,NEW,Crossover
Emgrand,Riyadh,Riyadh - Khorreiss Road - Pickup,"2,026",STD,Sedan,White,STO,"2,150","2,400",36,NEW,Sedan
Dzire,Riyadh,Riyadh - Al jazirah,"2,026",GL,Sedan,White,STS,770,,,NEW,Sedan
Elantra,Riyadh,Riyadh - Al Quds - Pickup,"2,026",Smart,Sedan,White,STO,"2,925","3,200",36,NEW,Sedan
Accent,Dammam,Dammam - Al Rawdah - Pickup,"2,026",Fleet,Sedan,Gray,STO,"2,350","2,600",36,NEW,Compact
Elantra,Riyadh,Riyadh - Al Quds - Pickup,"2,026",Smart,Sedan,Silver,STO,"2,925","1,700",36,NEW,Sedan
Elantra,Jeddah,Jeddah - Ar Rabwah - Pickup,"2,026",Smart,Sedan,Gray,STO,"2,925","3,200",36,NEW,Sedan
Elantra,Dammam,Dammam - Al Rawdah - Pickup,"2,026",Smart,Sedan,Silver,STO,"2,925","3,200",36,NEW,Sedan
Elantra,Jeddah,Jeddah - Ar Rabwah - Pickup,"2,026",Smart,Sedan,White,STO,"2,925","1,700",36,NEW,Sedan
GS3,Dammam,Dammam - Al Badiyah - Pickup,"2,026",GS,SUV,Black,STO,"2,400","2,800",36,NEW,Crossover
Sonet,Jeddah,Jeddah - Saqer Qouraish,"2,023",LX,Crossover,Gray,MONTHLY,"2,400",,,USED,Crossover
Sonet,Riyadh,Riyadh - Al Yarmuk,"2,023",LX,Crossover,Gray,MONTHLY,"2,475","2,825",,USED,Crossover
Dzire,Riyadh,Riyadh - Al Yarmuk,"2,024",GL,Sedan,White,STS,679,,,NEW,Sedan
Yaris,Riyadh,Riyadh - An Nahdah (Pick - up ),"2,026",Y,Sedan,Silver,STO,"2,300","2,500",36,NEW,Compact
Yaris,Riyadh,Riyadh - As Sulimaniyah - Pickup,"2,026",Y,Sedan,Silver,STO,"2,300","2,500",36,NEW,Compact
Yaris,Riyadh,Riyadh - As Sulimaniyah - Pickup,"2,026",Y,Sedan,Silver,STO,"2,300","2,500",36,NEW,Compact
GT,Riyadh,Riyadh - An Nahdah,"2,024",STD,Sedan,Grey,STS,750,,,NEW,Sedan
Pegas,Al Khobar,Al Khobar -  Al-Thuqbah,"2,024",LX,Sedan,Beige,MONTHLY,"2,149",,,NEW,Compact
Raize,Riyadh,Riyadh - Dhahrat Laban - Pickup,"2,026",XLE,SUV,Black,STO,"2,300","2,650",36,NEW,Crossover
Cerato,Jeddah,Jeddah - Ar Rawdah,"2,023",LX,Sedan,Silver,MONTHLY,"2,349",,,NEW,Compact
Elantra,Riyadh,Riyadh - As Sulimaniyah,"2,023",STD,Sedan,Grey,STS,880,,,NEW,Sedan
5,Riyadh,Riyadh - An Nasim Al Gharbi - Pickup,"2,025",STD,Sedan,Silver,STO,"1,975","2,300",36,NEW,Compact
Corolla,Riyadh,Riyadh - As Sahabah,"2,026",XLI,Sedan,Silver,STS,980,,,NEW,Sedan
Accent,Jeddah,Jeddah - Ar Rabwah - Pickup,"2,026",Fleet,Sedan,White,STO,"2,350","2,600",36,NEW,Compact
Accent,Riyadh,Riyadh - Al Quds - Pickup,"2,026",Fleet,Sedan,Gray,STO,"2,350","2,600",36,NEW,Compact
Cityray,Jeddah,Jeddah - Ar Rabwah - Pickup,"2,026",GC,SUV,Silver,STO,"2,850","1,800",36,NEW,SUV
Elantra,Riyadh,Riyadh - Al Quds - Pickup,"2,026",Smart,Sedan,White,STO,"2,925","1,700",36,NEW,Sedan
Elantra,Dammam,Dammam - Al Rawdah - Pickup,"2,026",Smart,Sedan,White,STO,"2,925","3,200",36,NEW,Sedan
Pegas,Jeddah,Jeddah - Terminal 1,"2,026",LX,Sedan,Silver,STS,680,,,NEW,Compact
Yaris,Madinah,Madinah - Khalid Ibn Al Walid,"2,024",Y,Sedan,Silver,STS,790,,,NEW,Compact
Emgrand,Riyadh,Riyadh - As Sulimaniyah - Pickup,"2,026",STD,Sedan,Dark-Blue,STO,"2,100","2,425",9,USED,Sedan
6,Al Khobar,Al Khobar -  Al-Thuqbah,"2,022",Full Option,Sedan,Black,MONTHLY,"2,489",,,NEW,Sedan
GT,Riyadh,Riyadh - Al Yarmuk,"2,024",STD,Sedan,Graphite,MONTHLY,"3,079",,,NEW,Sedan
Corolla,Riyadh,Riyadh - Al Yarmuk,"2,024",STD,Sedan,Black,STS,750,,,NEW,Sedan
Corolla,Riyadh,Riyadh - Al Falah,"2,024",STD,Sedan,Black,STS,750,,,NEW,Sedan
Accent,Riyadh,Riyadh - As Sulimaniyah,"2,026",STD,Sedan,Silver,STS,"1,180",,,NEW,Compact
5,Riyadh,Riyadh - An Nasim Al Gharbi - Pickup,"2,025",STD,Sedan,White,STO,"1,975","2,300",36,NEW,Compact
Alsvin,Riyadh,Daily Riyadh - Al Aqiq,"2,023",STD,Sedan,Silver,STS,700,,,NEW,Sedan
Creta,Dammam,Dammam - Al Rawdah - Pickup,"2,026",Smart,SUV,Gray,STO,"2,825","3,100",36,NEW,Crossover
Cityray,Jeddah,Jeddah - Ar Rabwah - Pickup,"2,026",GC,SUV,Gray,STO,"2,850","3,300",36,NEW,SUV
Jolion,Jeddah,Jeddah - Al Sanabel  - Pickup,"2,026",STD,Hatchback,Gray,STO,"2,650","1,400",36,NEW,Crossover
Pegas,Riyadh,Riyadh - Urubah,"2,024",LX,Sedan,White,MONTHLY,"1,769",,,NEW,Compact
2008,Riyadh,Riyadh - Al Faisaliyyah - STO - Pickup,"2,023",Allure,Suv,Black,STO,"2,850","3,275",6,USED,Crossover
Sonet,Riyadh,Riyadh - Al Yarmuk,"2,023",LX,Crossover,White,MONTHLY,"2,475","2,655",,USED,Crossover
S450,Jeddah,JDH,"2,023",STD,Sedan,Black,MONTHLY,"49,659",,,NEW,Luxury
5,Riyadh,Riyadh - Dhahrat Laban - Pickup,"2,025",STD,Sedan,White,STO,"1,900","2,100",24,USED,Compact
Yaris,Riyadh,Riyadh - As Sulimaniyah - Pickup,"2,026",Y,Sedan,Silver,STO,"2,300","2,500",36,NEW,Compact
Sunny,Riyadh,Riyadh - Al Yarmuk,"2,024",STD,Sedan,Silver,STS,600,,,NEW,Compact
City,Riyadh,Riyadh - An Nahdah,"2,024",STD,Sedan,White,STS,750,,,NEW,Compact
Eado,Dammam,Dammam - Al Itisalat,"2,023",Plus,Sedan,White,MONTHLY,"2,289",,,NEW,Sedan
Raize,Jeddah,Jeddah - An Nuzhah - Pickup,"2,026",XLE,SUV,Silver,STO,"2,300","2,650",36,NEW,Crossover
Accent,Jeddah,Jeddah - Ar Rabwah - Pickup,"2,026",Fleet,Sedan,Gray,STO,"2,350","1,400",36,NEW,Compact
Elantra,Dammam,Dammam - Al Rawdah - Pickup,"2,026",Smart,Sedan,Gray,STO,"2,925","3,200",36,NEW,Sedan
Sonata,Dammam,Dammam - Al Rawdah - Pickup,"2,026",Smart,Sedan,Silver,STO,"3,650","4,000",36,NEW,Sedan
Cityray,Jeddah,Jeddah - Ar Rabwah - Pickup,"2,026",GC,SUV,White,STO,"2,850","3,300",36,NEW,SUV
Elantra,Riyadh,Riyadh - Al Quds - Pickup,"2,026",Smart,Sedan,Gray,STO,"2,925","1,700",36,NEW,Sedan
Elantra,Riyadh,Riyadh - Al Quds - Pickup,"2,026",Smart,Sedan,Gray,STO,"2,925","1,700",36,NEW,Sedan
Pegas,Jeddah,Jeddah - Sanabel,"2,026",LX,Sedan,Grey,MONTHLY,"1,899",,,NEW,Compact
Urban Cruiser,Riyadh,Riyadh - Ar Rimal,"2,026",STD,Crossover,White,STS,970,,,NEW,Crossover
Accent,Jeddah,Jeddah Airport - Terminal 1,"2,024",Fleet,Sedan,White,STS,790,,,NEW,Compact
Accent,Jeddah,Jeddah - Heraa,"2,024",Fleet,Sedan,White,STS,790,,,NEW,Compact
Alsvin,Riyadh,Riyadh - Al Uraija - Pickup,"2,024",STD,Sedan,White,STO,"1,500","1,725",18,USED,Sedan
Yaris,Riyadh,Riyadh - As Sulimaniyah - Pickup,"2,026",Y,Sedan,Silver,STO,"2,300","2,500",9,NEW,Compact
Yaris,Riyadh,Riyadh - As Sulimaniyah - Pickup,"2,026",Y,Sedan,Gray,STO,"2,300","2,500",36,NEW,Compact
Yaris,Riyadh,Riyadh - As Sulimaniyah - Pickup,"2,026",Y,Sedan,Silver,STO,"2,300","2,500",36,NEW,Compact
Escalade,Riyadh,Riyadh - Rahmaniyyah,"2,025",Full,SUV,Black,MONTHLY,"48,449",,,NEW,SUV
GT,Riyadh,Riyadh - An Nahdah,"2,024",STD,Sedan,Grey,STS,750,,,NEW,Sedan
Corolla,Riyadh,Riyadh - Al Falah,"2,024",STD,Sedan,Black,STS,750,,,NEW,Sedan
Corolla,Riyadh,Riyadh - Al Falah,"2,024",STD,Sedan,Black,STS,750,,,NEW,Sedan
Pegas,Al Khobar,Al Khobar -  Al-Thuqbah,"2,023",LX,Sedan,Beige,MONTHLY,"2,029",,,NEW,Compact
Dzire,Jeddah,Jeddah - Al Salama,"2,024",GL,Sedan,Silver,STS,600,,,NEW,Sedan
Accent,Riyadh,Riyadh - As Sulimaniyah,"2,026",STD,Sedan,Silver,STS,"1,180",,,NEW,Compact
Cerato,Jeddah,Jeddah - Ar Rawdah,"2,023",LX,Sedan,White,MONTHLY,"2,369",,,NEW,Compact
Kona,Riyadh,Riyadh - As Sulimaniyah,"2,023",STD,Crossover,White,STS,900,,,NEW,Crossover
5,Riyadh,Riyadh - An Nasim Al Gharbi - Pickup,"2,025",STD,Sedan,Silver,STO,"1,975","2,300",36,NEW,Compact
Pegas,Jeddah,Jeddah - Palestine,"2,024",H,Sedan,White,STS,"1,079",,,NEW,Compact
Creta,Riyadh,Riyadh - Dhahrat Laban - Pickup,"2,026",Fleet,SUV,White,STO,"2,725","3,000",36,NEW,Crossover
Accent,Riyadh,Riyadh - Dhahrat Laban - Pickup,"2,026",Fleet,Sedan,White,STO,"2,500","2,700",36,NEW,Compact
Elantra,Jeddah,Jeddah - Ar Rabwah - Pickup,"2,026",Smart,Sedan,Silver,STO,"2,925","3,200",36,NEW,Sedan
Jolion,Jeddah,Jeddah - Al Sanabel  - Pickup,"2,026",STD,Hatchback,Black,STO,"2,650","1,400",36,NEW,Crossover
Yaris,Jeddah,Jeddah - Al Fayha,"2,023",Y,Sedan,White,MONTHLY,"2,030",,,NEW,Compact
Sunny,Jeddah,Jeddah - Al-Baghdadiyah Al-Gharbiyah,"2,023",S,Sedan,White,MONTHLY,"2,139",,,NEW,Compact
Yaris,Jeddah,Jeddah - Al Fayha - Pickup,"2,026",Y,Sedan,Gray,STO,"2,300","2,500",36,NEW,Compact
Yaris,Jeddah,Jeddah - Al Fayha - Pickup,"2,026",Y,Sedan,Silver,STO,"2,300","2,500",36,NEW,Compact
Pegas,Dammam,Dammam - Al Qadisyyah,"2,023",LX,Sedan,White,MONTHLY,"2,199",,,NEW,Compact
Accent,Riyadh,Riyadh - As Sahabah,"2,026",Fleet,Sedan,White,STS,870,,,NEW,Compact
Accent,Riyadh,Riyadh - Al Quds - Pickup,"2,026",Fleet,Sedan,Gray,STO,"2,350","1,400",36,NEW,Compact
Accent,Riyadh,Riyadh - Al Quds - Pickup,"2,026",Fleet,Sedan,Gray,STO,"2,350","2,600",36,NEW,Compact
Accent,Dammam,Dammam - Al Rawdah - Pickup,"2,026",Fleet,Sedan,Gray,STO,"2,350","2,600",36,NEW,Compact
Accent,Dammam,Dammam - Al Rawdah - Pickup,"2,026",Fleet,Sedan,Gray,STO,"2,350","2,600",36,NEW,Compact
